bus,sub,time,KV,region,area,coordinates,VOLTAGE,NAME,gisType,kvBase,PU,styleColor,styleOpacity,styleWeight
240A,163S,2026-07-12T01:21:38,255.67384338378906,SE,48,"-110.0281550164036,50.679770050357256",138/240,Amoco Empress,Point,240,1.065,red,0.327,8
945L,163S,2026-07-12T01:21:38,257.03582763671875,SE,48,"-110.03128382391566,50.671539741642846",138/240,Amoco Empress,Point,240,1.071,red,0.355,8
138_B1,166S,2026-07-12T01:21:38,141.79449462890625,EE,33,"-113.16890472898979,53.7264403427729",138,Dow Chemical Fort Saskatchewan,Point,138,1.027,green,0.3,8
138_B2,166S,2026-07-12T01:21:38,141.732666015625,EE,33,"-113.16588674362042,53.731960735329864",138,Dow Chemical Fort Saskatchewan,Point,138,1.027,green,0.3,8
14A,166S,2026-07-12T01:21:38,14.14222526550293,EE,33,"-113.17975498840039,53.72797370344723",138,Dow Chemical Fort Saskatchewan,Point,25,0.566,grey,0.3,8
14B,166S,2026-07-12T01:21:38,14.14222526550293,EE,33,"-113.18060689229797,53.727335560420755",138,Dow Chemical Fort Saskatchewan,Point,25,0.566,grey,0.3,8
1116L,167S,2026-07-12T01:21:38,259.14892578125,EE,27,"-111.06184000642243,55.35598881675626",138/240,Ipiatik Lake,Point,240,1.08,red,0.399,8
1117L,167S,2026-07-12T01:21:38,259.2008972167969,EE,27,"-111.06136042075046,55.362268936996564",138/240,Ipiatik Lake,Point,240,1.08,red,0.4,8
1AB2,167S,2026-07-12T01:21:38,140.6800079345703,EE,27,"-111.05967488733565,55.359608207490886",138/240,Ipiatik Lake,Point,138,1.019,green,0.3,8
2AB2,167S,2026-07-12T01:21:38,260.0899963378906,EE,27,"-111.0647394227475,55.36426606474851",138/240,Ipiatik Lake,Point,240,1.084,red,0.419,8
1115L,170S,2026-07-12T01:21:38,259.5126647949219,FM,25,"-110.73867861436152,55.41542774225275",138/240,Pike,Point,240,1.081,red,0.407,8
1116L,170S,2026-07-12T01:21:38,259.09698486328125,FM,25,"-110.74853389583225,55.41524123288092",138/240,Pike,Point,240,1.08,red,0.398,8
1AB1,170S,2026-07-12T01:21:38,140.47000122070312,FM,25,"-110.7318271114549,55.41549898846602",138/240,Pike,Point,138,1.018,green,0.3,8
1AB2,170S,2026-07-12T01:21:38,140.5,FM,25,"-110.7510126700598,55.40475095225591",138/240,Pike,Point,138,1.018,green,0.3,8
2AB1,170S,2026-07-12T01:21:38,260.07000732421875,FM,25,"-110.73473568919079,55.41311878326585",138/240,Pike,Point,240,1.084,red,0.418,8
2AB2,170S,2026-07-12T01:21:38,259.77001953125,FM,25,"-110.74708221010916,55.40951210241333",138/240,Pike,Point,240,1.082,red,0.412,8
138A,171S,2026-07-12T01:21:38,140.54000854492188,EE,33,"-113.08111292692803,53.93387989331541",138,Redwater,Point,138,1.018,green,0.3,8
25_N,171S,2026-07-12T01:21:38,25.941997528076172,EE,33,"-113.0798512822072,53.925387353723636",138,Redwater,Point,25,1.038,grey,0.3,8
25_S,171S,2026-07-12T01:21:38,25.86699867248535,EE,33,"-113.07166580159657,53.935099479664366",138,Redwater,Point,25,1.035,grey,0.3,8
138A,172S,2026-07-12T01:21:38,140.45913696289062,EE,33,"-113.19394117485476,53.72638340433835",138,Sherritt Gordon,Point,138,1.018,green,0.3,8
138A,178S,2026-07-12T01:21:38,139.3300018310547,WE,30,"-115.62546666856619,53.29188323673347",138,Cynthia,Point,138,1.01,green,0.3,8
25_A,178S,2026-07-12T01:21:38,25.884578704833984,WE,30,"-115.6232690815761,53.29134495817326",138,Cynthia,Point,25,1.035,grey,0.3,8
1081L,17S,2026-07-12T01:21:38,257.30999755859375,WC,35,"-114.28726899787733,52.268906525750374",138/240,Benalto,Point,240,1.072,red,0.361,8
1383,17S,2026-07-12T01:21:38,143.19932556152344,WC,35,"-114.2911418380915,52.26276753186826",138/240,Benalto,Point,138,1.038,green,0.3,8
1384,17S,2026-07-12T01:21:38,143.41000366210938,WC,35,"-114.2993137836057,52.25357406546097",138/240,Benalto,Point,138,1.039,green,0.3,8
190L,17S,2026-07-12T01:21:38,256.9300231933594,WC,35,"-114.28495568354977,52.2636466202222",138/240,Benalto,Point,240,1.071,red,0.353,8
240N,17S,2026-07-12T01:21:38,258.0540771484375,WC,35,"-114.28728221600971,52.26255762912854",138/240,Benalto,Point,240,1.075,red,0.376,8
240S,17S,2026-07-12T01:21:38,257.880859375,WC,35,"-114.2901239838242,52.259795917020824",138/240,Benalto,Point,240,1.075,red,0.373,8
25_B,17S,2026-07-12T01:21:38,26.105998992919922,WC,35,"-114.27995713811637,52.251705318839534",138/240,Benalto,Point,25,1.044,grey,0.3,8
1AB1,180S,2026-07-12T01:21:38,141.88316345214844,CY,44,"-114.57070736864455,51.13834765711611",138,Cope Creek,Point,138,1.028,green,0.3,8
138_B1,181S,2026-07-12T01:21:38,142.80999755859375,SW,54,"-112.90147406729585,49.70758109819735",138,Chinook,Point,138,1.035,green,0.3,8
B1,181S,2026-07-12T01:21:38,14.09999942779541,SW,54,"-112.90003402544646,49.71275903340021",138,Chinook,Point,25,0.564,grey,0.3,8
1AB1,183S,2026-07-12T01:21:38,0.0,FM,25,"-110.7421869832238,55.37629264316222",138,Underwood,Point,25,0,grey,0.3,8
1381,186S,2026-07-12T01:21:38,141.5536346435547,WC,57,"-114.0115825533408,51.24447182669744",138,Dry Creek,Point,138,1.026,green,0.3,8
1382,186S,2026-07-12T01:21:38,141.5016326904297,WC,57,"-114.013504325758,51.24585342708625",138,Dry Creek,Point,138,1.025,green,0.3,8
611L,186S,2026-07-12T01:21:38,141.54290771484375,WC,57,"-114.02380624132842,51.24603533358378",138,Dry Creek,Point,138,1.026,green,0.3,8
631L,186S,2026-07-12T01:21:38,141.76808166503906,WC,57,"-114.00646468314854,51.241212527808095",138,Dry Creek,Point,138,1.027,green,0.3,8
T1,186S,2026-07-12T01:21:38,141.43899536132812,WC,57,"-114.01574942934758,51.244815229920576",138,Dry Creek,Point,138,1.025,green,0.3,8
138A,191S,2026-07-12T01:21:38,141.78041076660156,WE,60,"-113.58839682785685,53.80082816101067",138,N.W. Cardiff,Point,138,1.027,green,0.3,8
25_B1,191S,2026-07-12T01:21:38,25.957998275756836,WE,60,"-113.59575445536544,53.797562128538196",138,N.W. Cardiff,Point,25,1.038,grey,0.3,8
138A,194S,2026-07-12T01:21:38,142.3400115966797,WC,35,"-113.82418770270364,52.27235051432572",138,South Red Deer,Point,138,1.031,green,0.3,8
